WORK_HEADER_ID,COD_SGAE,WORK_TYPE_ID,DOC_DATE,START_EFFECTIVITY_DATE,PERCENTAGE_D,PERCENTAGE_F,PERCENTAGE_L,PERCENTAGE_M,CMP_PERCENTAGE,CMP_LENGTH,CSS_LENGTH,CSS_PERCENTAGE,DISTRIBUTION_TYPOLOGY_ID,NATIONALITY_ID,W_WORK_LENGTH,W_MUSIC_LENGTH,E_WORK_LENTH,E_MUSIC_LENGTH,VERSION_ID,CONTRACT_DEFAULT
1304023,37039,5,2021-05-05 12:24:53,2021-05-05 00:00:00,,,,,,,,,,,,,,,1,0
9392,19000,2,2005-12-21 00:00:00,2005-12-21 00:00:00,,,,,,,,,1,112,,,,,,0
1091372,7994848,6,2014-10-02 00:00:00,2014-10-02 00:00:00,,,,,,,,,,,,,,,1,0
1091373,7994849,6,2014-10-02 00:00:00,2014-10-02 00:00:00,,,,,,,,,,,,,,,1,0
1217921,50096363,6,2019-04-01 00:00:00,2019-04-01 00:00:00,,,,,,,,,,,,,,,1,0
9615,19405,2,2006-08-09 00:00:00,2006-08-09 00:00:00,,,,,,,,,1,207,,,,,,0
610006,4084,5,1991-03-21 00:00:00,1991-03-21 00:00:00,,,,,,,,,,,,,,,1,0
610006,4084,5,1991-03-21 00:00:00,1991-03-21 00:00:00,,,,,,,,,,,,,,,1,0
640252,6014112,6,2015-04-08 00:00:00,2015-04-08 00:00:00,,,,,,,,,,,,,,,1,0
1075737,7942795,6,2013-07-10 00:00:00,2013-07-10 00:00:00,,,,,,,,,,,,,,,1,0
1075736,7942794,6,2013-07-10 00:00:00,2013-07-10 00:00:00,,,,,,,,,,,,,,,1,0
1091364,7994836,6,2014-10-02 00:00:00,2014-10-02 00:00:00,,,,,,,,,,,,,,,1,0
1091364,7994836,6,2014-10-02 00:00:00,2014-10-02 00:00:00,,,,,,,,,,,,,,,1,0
1217911,50096353,6,2019-04-01 00:00:00,2019-04-01 00:00:00,,,,,,,,,,,,,,,1,0
1253691,35266,5,2022-02-04 14:16:21,2022-02-04 00:00:00,,,,,,,,,,,,,,,1,0
260,621,2,,1993-08-02 00:00:00,,,,,7.46,611,,,4,212,,,,,,1
9392,19000,2,2005-12-21 00:00:00,2005-12-21 00:00:00,,,,,,,,,1,112,,,,,,0
1086095,7976906,6,2014-04-15 00:00:00,2014-04-15 00:00:00,,,,,,,,,,,,,,,1,0
640252,6014112,6,2015-04-08 00:00:00,2015-04-08 00:00:00,,,,,,,,,,,,,,,1,0
1091374,7994850,6,2014-10-02 00:00:00,2014-10-02 00:00:00,,,,,,,,,,,,,,,1,0
1091365,7994837,6,2014-10-02 00:00:00,2014-10-02 00:00:00,,,,,,,,,,,,,,,1,0
1217913,50096355,6,2019-04-01 00:00:00,2019-04-01 00:00:00,,,,,,,,,,,,,,,1,0
1210296,50089009,6,2019-08-01 00:00:00,2019-08-01 00:00:00,,,,,,,,,,,,,,,1,0
1182932,50062540,6,2020-01-20 00:00:00,2020-01-20 00:00:00,,,,,,,,,,,,,,,1,0
1182931,50062539,6,2018-10-11 00:00:00,2018-10-11 00:00:00,,,,,,,,,,,,,,,1,0
614837,14566,5,2002-04-23 00:00:00,2002-04-23 00:00:00,,,,,,,,,,,,,,,1,0
5547,11970,2,,1993-08-02 00:00:00,,,,,,,,,4,212,,,,,,1
1271,3055,2,,2010-04-06 00:00:00,,,,,,,,,4,212,,,,,,1
643346,6012456,6,2020-04-02 00:00:00,2020-04-02 00:00:00,,,,,,,,,,,,,,,1,0
640248,6014107,6,2015-04-08 00:00:00,2015-04-08 00:00:00,,,,,,,,,,,,,,,1,0
1075732,7942790,6,2013-07-10 00:00:00,2013-07-10 00:00:00,,,,,,,,,,,,,,,1,0
1078051,7951151,6,2013-09-19 00:00:00,2013-09-19 00:00:00,,,,,,,,,,,,,,,1,0
1078058,7951163,6,2013-09-19 00:00:00,2013-09-19 00:00:00,,,,,,,,,,,,,,,1,0
1091366,7994838,6,2014-10-02 00:00:00,2014-10-02 00:00:00,,,,,,,,,,,,,,,1,0
1091375,7994851,6,2014-10-02 00:00:00,2014-10-02 00:00:00,,,,,,,,,,,,,,,1,0
1217923,50096365,6,2019-04-01 00:00:00,2019-04-01 00:00:00,,,,,,,,,,,,,,,1,0
9392,19000,2,2005-12-21 00:00:00,2005-12-21 00:00:00,,,,,,,,,1,112,,,,,,0
9392,19000,2,2005-12-21 00:00:00,2005-12-21 00:00:00,,,,,,,,,1,112,,,,,,0
642515,6008382,4,2015-02-23 00:00:00,2015-02-23 00:00:00,,,,,,,,,,,,,,,1,0
12819,24978,2,2011-09-20 00:00:00,2011-09-20 00:00:00,,,,,,,,,1,100,,,,,,0
1302522,37008,2,2021-03-24 14:15:18,2021-03-24 00:00:00,,,,,,,,,1,212,,,,,,0
1086095,7976906,6,2014-04-15 00:00:00,2014-04-15 00:00:00,,,,,,,,,,,,,,,1,0
647994,6019594,4,2015-06-11 00:00:00,2015-06-11 00:00:00,,,,,,,,,,,,,,,1,0
1091376,7994852,6,2014-10-02 00:00:00,2014-10-02 00:00:00,,,,,,,,,,,,,,,1,0
1091377,7994853,6,2014-10-02 00:00:00,2014-10-02 00:00:00,,,,,,,,,,,,,,,1,0
1217915,50096357,6,2019-04-01 00:00:00,2019-04-01 00:00:00,,,,,,,,,,,,,,,1,0
613512,10450,5,1990-08-18 00:00:00,1990-08-18 00:00:00,,,,,,,,,,,,,,,1,0
937745,7602297,4,2005-05-20 00:00:00,2005-05-20 00:00:00,,,,,,,,,,,,,,,1,0
1249619,35096,5,2020-01-28 00:00:00,2020-01-28 00:00:00,,,,,,,,,,,,,,,1,0
51599,7070273,1,1991-10-09 00:00:00,1991-10-09 00:00:00,,,,,,,,,5,510,,,,,,0
613512,10450,5,1990-08-18 00:00:00,1990-08-18 00:00:00,,,,,,,,,,,,,,,1,0
14011,27141,2,2013-03-26 00:00:00,2013-03-26 00:00:00,,,,,,,,,1,206,,,,,,0
9392,19000,2,2005-12-21 00:00:00,2005-12-21 00:00:00,,,,,,,,,1,112,,,,,,0
